id,name,gender,height,weight,url
107074,Sijara Eubanks,Female,160.02,61,https://healthyceleb.com/sijara-eubanks-height-weight-age-body-statistics/107074
103013,Heather Miriam Watson,Female,167.64,55,https://healthyceleb.com/heather-watson-height-weight-age-body-statistics/103013
102777,Gabriella Patricia Taylor,Female,167.64,55,https://healthyceleb.com/gabriella-taylor-height-weight-age-body-statistics/102777
102549,Freya Nicole Christie,Female,180.34,60,https://healthyceleb.com/freya-christie-height-weight-age-body-statistics/102549
102630,Harriet Dart,Female,172.72,58,https://healthyceleb.com/harriet-dart-height-weight-age-body-statistics/102630
102818,Elina Svitolina,Female,173.99,60,https://healthyceleb.com/elina-svitolina-height-weight-age-body-statistics/102818
101765,Alana Rene Blanchard,Female,172.72,56,https://healthyceleb.com/alana-blanchard-height-weight-age-body-statistics/101765
101103,Bethany Meilani Hamilton,Female,180.34,65,https://healthyceleb.com/bethany-hamilton-height-weight-age-body-statistics/101103
101405,Tessa Jane McCormick Virtue,Female,162.56,50,https://healthyceleb.com/tessa-virtue-height-weight-age-body-statistics/101405
102748,Eden Giselle Silva,Female,172.72,59,https://healthyceleb.com/eden-silva-height-weight-age-body-statistics/102748
101939,Viktoriya Konstantinova Tomova,Female,170.18,58,https://healthyceleb.com/viktoriya-tomova-height-weight-age-body-statistics/101939
102901,Tara Shanice Moore,Female,162.56,58,https://healthyceleb.com/tara-moore-height-weight-age-body-statistics/102901
102938,Katy Dunne,Female,177.8,64,https://healthyceleb.com/katy-dunne-height-weight-age-body-statistics/102938
103760,Lauren Boden Wells,Female,179.07,66,https://healthyceleb.com/lauren-wells-height-weight-age-body-statistics/103760
102864,Katie Swan,Female,170.18,55,https://healthyceleb.com/katie-swan-height-weight-age-body-statistics/102864
106702,Lauren Zoe Hernandez,Female,154.94,54,https://healthyceleb.com/laurie-hernandez-height-weight-age-body-statistics/106702
108220,Anastasia Electra Ashley,Female,172.72,58,https://healthyceleb.com/anastasia-ashley-height-weight-age-body-statistics/108220
107934,Ketlen Vieira,Female,172.72,61,https://healthyceleb.com/ketlen-vieira-height-weight-age-body-statistics/107934
107073,Katlyn Chookagian,Female,175.26,61,https://healthyceleb.com/katlyn-chookagian-height-weight-age-body-statistics/107073
108182,Alison Fernandez,Female,147.32,40,https://healthyceleb.com/alison-fernandez-height-weight-age-body-statistics/108182
99390,Naomi Broady,Female,187.96,70,https://healthyceleb.com/naomi-broady-height-weight-age-body-statistics/99390
98794,Stephanie Louise Rice,Female,175.9,67,https://healthyceleb.com/stephanie-rice-swimmer-height-weight-age-body-statistics/98794
89883,Kristine Tsuya Yamaguchi,Female,151.13,45,https://healthyceleb.com/kristi-yamaguchi-height-weight-age-body-statistics/89883
99345,Katie Boulter,Female,180.34,68,https://healthyceleb.com/katie-boulter-height-weight-age-body-statistics/99345
90262,Steffanie Newell,Female,167.64,64,https://healthyceleb.com/nixon-newell-height-weight-age-body-statistics/90262
90697,Isabella Cuda,Female,137.16,44,https://healthyceleb.com/isabella-cuda-height-weight-age-body-statistics/90697
90671,Mercedes Kaestner-Varnado,Female,165.1,52,https://healthyceleb.com/sasha-banks-height-weight-age-body-statistics/90671
91594,Tessa Blanchard,Female,165.1,57,https://healthyceleb.com/tessa-blanchard-height-weight-age-body-statistics/91594
91766,Britt Baker,Female,170.18,55,https://healthyceleb.com/britt-baker-wrestler-height-weight-age-body-statistics/91766
91786,Trinity McCray,Female,165.1,55,https://healthyceleb.com/naomi-wrestler-height-weight-age-body-statistics/91786
91823,Brooke Ellen Bollea,Female,180.34,67,https://healthyceleb.com/brooke-hogan-height-weight-age-body-statistics/91823
91915,Gabrielle Christina Victoria Douglas,Female,157.48,50,https://healthyceleb.com/gabby-douglas-height-weight-age-body-statistics/91915
91744,Masami Odate,Female,156.21,54,https://healthyceleb.com/io-shirai-height-weight-age-body-statistics/91744
94210,Indi Hartwell,Female,175.26,63,https://healthyceleb.com/indi-hartwell-height-weight-age-body-statistics/94210
